algorithm,symbol,objective_value,expected_return,portfolio_volatility,sharpe_ratio,elapsed_ms
linear_programming,"PETR4.SA,VALE3.SA,ITUB4.SA",-0.005321113455722376,0.0008971372402360779,0.017766430559881297,0.05049620052898639,130.01599998096935
genetic_algorithm,"PETR4.SA,VALE3.SA,ITUB4.SA",-0.005321113140913364,0.0008970840197207563,0.017766277601811774,0.05049363968225247,280.3927999921143
simulated_annealing,"PETR4.SA,VALE3.SA,ITUB4.SA",-0.0057502872299370214,0.0010250153083934484,0.019358007252372772,0.052950455851689435,26.61380000063218
